comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k4,final_evidence_usage_quality,72,0.2417,0.0849,0.0000,0.0860,0.4083,20.83,75.00,4.17
k1_to_k4,final_groundedness,72,0.3500,0.1122,0.0000,0.1444,0.5862,25.00,68.06,6.94
k1_to_k4,final_intent_satisfaction,72,0.5833,0.1183,0.0000,0.3611,0.8333,47.22,45.83,6.94
k1_to_k4,final_missing_constraint_awareness,72,0.4028,0.1603,0.0000,0.0969,0.7226,45.83,34.72,19.44
k1_to_k4,final_non_genericness,72,0.7917,0.1355,1.0000,0.5417,1.0694,58.33,34.72,6.94
k1_to_k4,final_overpersonalization,72,-0.1528,0.1366,0.0000,-0.4028,0.0972,8.33,72.22,19.44
k1_to_k4,final_personalization_target_use,72,0.7500,0.1477,1.0000,0.4583,1.0417,52.78,37.50,9.72
k1_to_k4,final_safety,72,0.0972,0.1173,0.0000,-0.1111,0.3333,26.39,55.56,18.06
k1_to_k4,final_specificity,72,0.7222,0.1032,1.0000,0.5278,0.9306,54.17,43.06,2.78
k1_to_k4,final_thoughtfulness,1,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k1_to_k4,final_uncertainty_calibration,72,0.3750,0.1289,0.0000,0.1389,0.6389,41.67,41.67,16.67
k1_to_k4,final_unsupported_claim_risk,72,-0.3542,0.1103,0.0000,-0.5903,-0.1528,5.56,69.44,25.00
k1_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,realized_k,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,retrieval_constraint_coverage,72,1.8194,0.1471,2.0000,1.5556,2.0976,83.33,16.67,0.00
k1_to_k4,retrieval_disconfirming_coverage,72,-0.3333,0.1119,0.0000,-0.5694,-0.1250,0.00,86.11,13.89
k1_to_k4,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,retrieval_evidence_relevance,72,0.5556,0.1201,0.0000,0.3191,0.7778,37.50,56.94,5.56
k1_to_k4,retrieval_result_persona_fit,72,2.0139,0.1500,2.0000,1.7361,2.3056,87.50,11.11,1.39
k1_to_k4,retrieval_source_quality,72,0.6528,0.1222,0.0000,0.4028,0.8750,44.44,50.00,5.56
