comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k2_to_k4,final_citation_support,72,0.0833,0.0431,0.0000,0.0139,0.1806,5.56,94.44,0.00
k2_to_k4,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,final_domain_safety,72,0.1806,0.1192,0.0000,-0.0417,0.4167,26.39,59.72,13.89
k2_to_k4,final_evidence_usage_quality,72,0.2056,0.0854,0.0000,0.0443,0.3709,26.39,61.11,12.50
k2_to_k4,final_groundedness,72,0.1917,0.0864,0.0000,0.0278,0.3695,27.78,58.33,13.89
k2_to_k4,final_intent_satisfaction,72,0.2708,0.1065,0.0000,0.0694,0.4655,27.78,62.50,9.72
k2_to_k4,final_missing_constraint_awareness,72,0.3472,0.1456,0.0000,0.0694,0.6250,41.67,37.50,20.83
k2_to_k4,final_non_genericness,72,0.3194,0.1309,0.0000,0.0833,0.5837,36.11,50.00,13.89
k2_to_k4,final_overpersonalization,72,-0.1528,0.0962,0.0000,-0.3333,0.0417,5.56,79.17,15.28
k2_to_k4,final_personalization_target_use,72,0.3750,0.1377,0.0000,0.1111,0.6389,36.11,51.39,12.50
k2_to_k4,final_safety,72,0.1667,0.1153,0.0000,-0.0417,0.3750,30.56,54.17,15.28
k2_to_k4,final_specificity,72,0.3403,0.1109,0.0000,0.1387,0.5694,38.89,51.39,9.72
k2_to_k4,final_uncertainty_calibration,72,0.2361,0.1274,0.0000,-0.0139,0.4583,37.50,41.67,20.83
k2_to_k4,final_unsupported_claim_risk,72,-0.1875,0.0859,0.0000,-0.3611,-0.0139,12.50,62.50,25.00
k2_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,realized_k,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,retrieval_constraint_coverage,72,0.8125,0.1257,1.0000,0.5832,1.0835,51.39,44.44,4.17
k2_to_k4,retrieval_disconfirming_coverage,72,-0.5694,0.1504,0.0000,-0.8611,-0.3056,0.00,79.17,20.83
k2_to_k4,retrieval_distractor_robustness,72,-0.0417,0.0417,0.0000,-0.1250,0.0000,0.00,98.61,1.39
k2_to_k4,retrieval_evidence_relevance,72,0.1944,0.0877,0.0000,0.0278,0.3750,22.22,66.67,11.11
k2_to_k4,retrieval_result_persona_fit,72,0.5694,0.1200,0.0000,0.3472,0.8056,45.83,43.06,11.11
k2_to_k4,retrieval_source_quality,72,0.3750,0.0978,0.0000,0.1667,0.5833,37.50,54.17,8.33
k2_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0139,0.0419,0.0000,-0.0694,0.0972,2.78,95.83,1.39
k2_to_k4,search_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,synthesis_latency,72,1.4208,0.3618,1.2174,0.7121,2.1425,68.06,0.00,31.94
k2_to_k4,tavily_calls,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,total_latency,72,1.4208,0.3618,1.2174,0.7121,2.1425,68.06,0.00,31.94
k2_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,total_retrieved_context_size,72,7995.9722,338.6889,7672.5000,7368.6486,8779.5167,100.00,0.00,0.00
k2_to_k4,total_synthesis_context_size,72,7516.4028,353.4552,6795.5000,6842.1646,8352.6351,100.00,0.00,0.00
k2_to_k4,unique_domains,72,8.1111,0.1944,8.0000,7.7500,8.4861,100.00,0.00,0.00
k2_to_k4,unique_urls,72,9.4583,0.1082,10.0000,9.2222,9.6667,100.00,0.00,0.00
k4_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,duplicate_url_rate,72,0.0205,0.0071,0.0000,0.0083,0.0347,44.44,30.56,25.00
k4_to_k8,fanout_faithfulness_to_user_query,72,-0.0694,0.0498,0.0000,-0.1806,0.0139,1.39,93.06,5.56
k4_to_k8,fanout_overpersonalization_risk,72,0.0556,0.0737,0.0000,-0.0972,0.2083,5.56,91.67,2.78
k4_to_k8,fanout_persona_field_use,72,0.3194,0.1005,0.0000,0.1111,0.5139,33.33,59.72,6.94
k4_to_k8,fanout_query_diversity,72,0.1250,0.0591,0.0000,0.0139,0.2500,12.50,86.11,1.39
k4_to_k8,fanout_query_specificity,72,0.1528,0.0582,0.0000,0.0417,0.2639,16.67,81.94,1.39
k4_to_k8,fanout_search_realism,72,-0.0278,0.0483,0.0000,-0.1389,0.0417,2.78,94.44,2.78
k4_to_k8,final_actionability_without_overclaiming,72,0.1458,0.1090,0.0000,-0.0764,0.3613,25.00,61.11,13.89
k4_to_k8,final_citation_support,72,-0.0278,0.0278,0.0000,-0.0833,0.0000,0.00,98.61,1.39
k4_to_k8,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,final_domain_safety,72,0.0694,0.1240,0.0000,-0.1670,0.3194,20.83,61.11,18.06
k4_to_k8,final_evidence_usage_quality,72,0.0889,0.0464,0.0000,-0.0083,0.1819,16.67,79.17,4.17
k4_to_k8,final_groundedness,72,0.1722,0.0541,0.0000,0.0653,0.2764,26.39,69.44,4.17
k4_to_k8,final_intent_satisfaction,72,0.3333,0.1199,0.0000,0.0903,0.5696,37.50,52.78,9.72
k4_to_k8,final_missing_constraint_awareness,72,0.2500,0.1464,0.0000,-0.0417,0.5417,36.11,44.44,19.44
k4_to_k8,final_non_genericness,72,0.3958,0.1377,0.0000,0.1250,0.6738,40.28,48.61,11.11
k4_to_k8,final_overpersonalization,72,0.1389,0.0955,0.0000,-0.0556,0.3333,12.50,83.33,4.17
k4_to_k8,final_personalization_target_use,72,0.3333,0.1582,0.0000,0.0000,0.6528,33.33,52.78,13.89
k4_to_k8,final_safety,72,0.0278,0.1219,0.0000,-0.2083,0.2778,20.83,61.11,18.06
k4_to_k8,final_specificity,72,0.3611,0.1048,0.0000,0.1458,0.5694,37.50,55.56,6.94
k4_to_k8,final_uncertainty_calibration,72,0.2361,0.1349,0.0000,-0.0139,0.5139,33.33,52.78,13.89
k4_to_k8,final_unsupported_claim_risk,72,-0.2014,0.0539,0.0000,-0.3056,-0.0903,2.78,72.22,25.00
k4_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,realized_k,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,retrieval_constraint_coverage,72,0.3403,0.0937,0.0000,0.1597,0.5278,30.56,61.11,8.33
k4_to_k8,retrieval_disconfirming_coverage,72,0.0139,0.0938,0.0000,-0.1667,0.1806,12.50,83.33,4.17
k4_to_k8,retrieval_distractor_robustness,72,0.0278,0.0441,0.0000,-0.0417,0.1250,1.39,97.22,1.39
k4_to_k8,retrieval_evidence_relevance,72,0.0625,0.0463,0.0000,-0.0210,0.1528,11.11,83.33,5.56
k4_to_k8,retrieval_result_persona_fit,72,0.4028,0.0807,0.0000,0.2500,0.5694,36.11,61.11,2.78
k4_to_k8,retrieval_source_quality,72,0.1736,0.0686,0.0000,0.0556,0.3125,22.22,70.83,6.94
k4_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0278,0.0278,0.0000,0.0000,0.0833,1.39,98.61,0.00
k4_to_k8,search_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,synthesis_latency,72,4.3521,0.6405,3.9129,3.1959,5.6936,83.33,0.00,16.67
k4_to_k8,tavily_calls,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,total_latency,72,4.3521,0.6405,3.9129,3.1959,5.6936,83.33,0.00,16.67
k4_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
