comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k4,search_latency,72,5.1111,0.2228,4.7711,4.6790,5.5307,100.00,0.00,0.00
k1_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,synthesis_latency,72,1.6864,0.2568,1.5695,1.1662,2.1315,84.72,0.00,15.28
k1_to_k4,tavily_calls,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,total_latency,72,6.7975,0.3360,6.7003,6.1864,7.4386,100.00,0.00,0.00
k1_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,total_retrieved_context_size,72,18911.1667,261.6951,19292.0000,18398.5083,19369.6729,100.00,0.00,0.00
k1_to_k4,total_synthesis_context_size,72,16625.8611,312.2891,16643.0000,15988.8434,17239.1160,100.00,0.00,0.00
k1_to_k4,unique_domains,72,11.7083,0.2544,12.0000,11.2500,12.1944,100.00,0.00,0.00
k1_to_k4,unique_urls,72,13.2500,0.2063,13.0000,12.8333,13.6667,100.00,0.00,0.00
k1_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,duplicate_url_rate,72,0.1018,0.0111,0.0750,0.0791,0.1226,81.94,18.06,0.00
k1_to_k8,fanout_faithfulness_to_user_query,72,0.2083,0.1100,0.0000,0.0000,0.4306,20.83,69.44,9.72
k1_to_k8,fanout_overpersonalization_risk,72,0.1250,0.0591,0.0000,0.0278,0.2639,6.94,93.06,0.00
k1_to_k8,fanout_persona_field_use,72,3.2222,0.1157,4.0000,3.0000,3.4306,100.00,0.00,0.00
k1_to_k8,fanout_query_diversity,72,3.9028,0.0403,4.0000,3.8056,3.9722,100.00,0.00,0.00
k1_to_k8,fanout_query_specificity,72,2.6250,0.0849,3.0000,2.4719,2.7778,98.61,1.39,0.00
k1_to_k8,fanout_search_realism,72,0.1528,0.0757,0.0000,0.0000,0.2917,27.78,61.11,11.11
k1_to_k8,final_actionability_without_overclaiming,72,0.8264,0.1282,1.0000,0.5417,1.0694,66.67,26.39,6.94
k1_to_k8,final_citation_support,72,0.0694,0.0411,0.0000,0.0000,0.1528,4.17,95.83,0.00
k1_to_k8,final_contradiction_with_evidence,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k1_to_k8,final_domain_safety,72,0.3333,0.1370,0.0000,0.0556,0.6111,36.11,52.78,11.11
k1_to_k8,final_evidence_usage_quality,72,0.3111,0.0829,0.0000,0.1611,0.4862,25.00,73.61,1.39
k1_to_k8,final_groundedness,72,0.2653,0.0778,0.0000,0.1278,0.4154,26.39,69.44,4.17
k1_to_k8,final_intent_satisfaction,72,1.1597,0.1274,1.0000,0.9028,1.4028,68.06,30.56,1.39
k1_to_k8,final_missing_constraint_awareness,72,0.9306,0.1498,1.0000,0.6385,1.2083,58.33,31.94,9.72
k1_to_k8,final_non_genericness,72,1.2639,0.1327,1.0000,1.0000,1.5142,72.22,26.39,1.39
k1_to_k8,final_overpersonalization,72,-0.3056,0.1515,0.0000,-0.6111,-0.0278,8.33,70.83,20.83
k1_to_k8,final_personalization_target_use,72,1.1944,0.1627,1.0000,0.8608,1.5278,66.67,29.17,4.17
k1_to_k8,final_safety,72,0.2500,0.1323,0.0000,-0.0417,0.5139,34.72,51.39,13.89
k1_to_k8,final_specificity,72,0.9514,0.1320,1.0000,0.6873,1.1944,63.89,31.94,4.17
k1_to_k8,final_uncertainty_calibration,72,0.7292,0.1319,1.0000,0.4722,0.9934,59.72,30.56,9.72
k1_to_k8,final_unsupported_claim_risk,72,-0.2778,0.0772,0.0000,-0.4306,-0.1319,4.17,69.44,26.39
k1_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,realized_k,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,retrieval_constraint_coverage,72,1.9722,0.1453,2.0000,1.6944,2.2639,86.11,12.50,1.39
k1_to_k8,retrieval_disconfirming_coverage,72,-0.1944,0.0782,0.0000,-0.3750,-0.0556,0.00,90.28,9.72
k1_to_k8,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,retrieval_evidence_relevance,72,0.4931,0.1168,0.0000,0.2569,0.7292,37.50,55.56,6.94
k1_to_k8,retrieval_result_persona_fit,72,2.1875,0.1530,2.0000,1.8889,2.4792,86.11,13.89,0.00
k1_to_k8,retrieval_source_quality,72,0.8194,0.1071,1.0000,0.6111,1.0278,62.50,34.72,2.78
k1_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0139,0.0139,0.0000,-0.0556,0.0000,0.00,98.61,1.39
k1_to_k8,search_latency,72,11.9825,0.4768,10.9670,11.1076,12.8683,100.00,0.00,0.00
k1_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,synthesis_latency,72,6.7100,0.3650,6.5629,6.0160,7.4221,100.00,0.00,0.00
k1_to_k8,tavily_calls,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,total_latency,72,18.6925,0.6478,17.8692,17.5066,19.9647,100.00,0.00,0.00
k1_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,total_retrieved_context_size,72,43879.7361,412.8214,43823.0000,42979.0597,44649.8934,100.00,0.00,0.00
k1_to_k8,total_synthesis_context_size,72,38433.2917,619.4517,39247.5000,37213.2128,39723.4740,100.00,0.00,0.00
k1_to_k8,unique_domains,72,25.7778,0.5525,26.5000,24.8052,26.9722,100.00,0.00,0.00
k1_to_k8,unique_urls,72,30.9028,0.4419,32.0000,30.0691,31.8194,100.00,0.00,0.00
