[run_batch] 432 runs planned.
[172/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[173/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[174/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_30
[175/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[176/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[177/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_30
[178/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_32
[179/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_30
[180/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[181/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_33
[182/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_30
[183/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[184/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[185/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_30
[186/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[187/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[188/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_34
[189/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[190/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[191/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[192/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[193/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[194/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_36
[195/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[196/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[197/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_35
[198/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[199/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[200/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_34
[201/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[202/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_34
[203/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[204/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_34
[205/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_34
[206/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_34
[207/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_35
[208/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_37
[209/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_35
[210/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_35
[211/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_38
[212/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_35
[213/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_35
[214/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_36
[215/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[216/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[217/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_36
[218/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_37
[219/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_39
[220/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[221/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_40
[222/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_37
[223/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[224/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_37
